ju;FECHA;TIPO;ASUNTO_V2;ESTADO ;Fecha de Respuesta;Tiempo de Respuesta
1;18-11-2024;DENUNCIA;Perro Comunitario;LISTO;;
2;29-10-2024;DENUNCIA;Maltrato;LISTO;;
3;21-11-2024;DENUNCIA;Tenencia;LISTO;;
4;10-12-2024;SOLICITUD;Tenencia;LISTO;;
5;10-12-2024;DENUNCIA;Tenencia;LISTO;;
6;10-12-2024;DENUNCIA;Maltrato;LISTO;;
7;16-12-2024;DENUNCIA;Perro Mordedor;LISTO;;
8;17-10-2024;SOLICITUD;Operativo de Esterilización;LISTO;;
9;13-01-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
10;06-12-2025;DENUNCIA;Tenencia;EN PROCESO;;
11;20-02-2025;SOLICITUD;Maltrato;LISTO;;
12;14-03-2025;DENUNCIA;Maltrato;LISTO;;
13;27-12-2024;DENUNCIA;Maltrato;LISTO;;
14;21-02-2025;DENUNCIA;Maltrato;EN PROCESO;;
15;20-03-2025;SOLICITUD;Atención veterinaria;LISTO;;
16;20-03-2025;DENUNCIA;Olores;EN PROCESO;;
17;22-01-2024;SOLICITUD;Operativo de Esterilización;EN PROCESO;;
18;17-04-2025;DENUNCIA;Maltrato;LISTO;;
19;08-05-2025;DENUNCIA;Perro Comunitario;EN PROCESO;;
20;28-04-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
21;19-05-2025;DENUNCIA;Perro Mordedor;LISTO;;
22;22-05-2025;SOLICITUD;Atención veterinaria;LISTO;;
23;22-05-2025;DENUNCIA;Operativo de Esterilización;LISTO;;
24;27-05-2025;DENUNCIA;Maltrato;LISTO;;
25;02-06-2025;SOLICITUD;Atención veterinaria;LISTO;;
26;03-06-2025;DENUNCIA;Maltrato;LISTO;;
27;16-06-2025;DENUNCIA;Tenencia;Visitado;;
28;16-06-2025;SOLICITUD;Tenencia;LISTO;;
29;16-06-2025;DENUNCIA;Maltrato;LISTO;;
30;14-07-2025;DENUNCIA;Tenencia;EN PROCESO;;
31;15-07-2025;DENUNCIA;Tenencia;EN PROCESO;;
32;28-05-2025;SOLICITUD;Tenencia;LISTO;;
33;05-06-2025;DENUNCIA;Tenencia;EN PROCESO;;
34;18-07-2025;DENUNCIA;Perro Mordedor;EN PROCESO;;
35;30-07-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
36;22-08-2025;DENUNCIA;Perro Mordedor;EN PROCESO;;
37;27-08-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
38;18-08-2025;DENUNCIA;Maltrato;LISTO;;
39;26-06-2025;SOLICITUD;Tenencia;LISTO;;
40;08-09-2025;DENUNCIA;Perro Mordedor;EN PROCESO;;
41;05-09-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
42;03-09-2025;DENUNCIA;Tenencia;Visitado;;
43;10-09-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
44;11-09-2025;SOLICITUD;Atención veterinaria;LISTO;;
45;11-09-2025;DENUNCIA;Tenencia;LISTO;;
46;15-09-2025;DENUNCIA;Tenencia;EN PROCESO;;
47;15-09-2025;SOLICITUD;Atención veterinaria;LISTO;;
48;22-09-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
49;24-09-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
50;01-10-2025;SOLICITUD;Atención veterinaria;LISTO;;
51;01-10-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
52;06-10-2025;DENUNCIA;Tenencia;LISTO;;
53;06-10-2025;SOLICITUD;Atención veterinaria;LISTO;;
54;07-10-2025;SOLICITUD;Perro Mordedor;EN PROCESO;;
55;07-10-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
56;08-10-2025;SOLICITUD;Otras;LISTO;;
57;13-10-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
58;14-10-2025;SOLICITUD;Otras;LISTO;;
59;15-10-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
60;14-10-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
61;17-10-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
62;20-10-2025;SOLICITUD;Atención veterinaria;LISTO;;
63;20-10-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
64;21-10-2025;DENUNCIA;Maltrato;LISTO;;
65;21-10-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
66;21-10-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
67;24-10-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
68;27-10-2025;DENUNCIA;Otras;EN PROCESO;;
69;29-10-2025;SOLICITUD;Operativo de Esterilización;EN PROCESO;;
70;28-10-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
71;05-11-2025;DENUNCIA;Maltrato;EN PROCESO;;
72;07-11-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
73;07-11-2025;DENUNCIA;Maltrato;EN PROCESO;;
74;12-11-2025;DENUNCIA;Maltrato;LISTO;;
75;14-11-2025;DENUNCIA;Maltrato;LISTO;;
76;17-11-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
77;01-12-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
78;04-12-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
79;10-12-2025;DENUNCIA;Maltrato;Visitado;;
80;10-12-2025;DENUNCIA;Perro Mordedor;EN PROCESO;;
81;12-12-2025;DENUNCIA;Maltrato;LISTO;;
82;15-12-2025;DENUNCIA;Perro Mordedor;EN PROCESO;;
83;16-12-2025;SOLICITUD;Operativo de Esterilización;EN PROCESO;;
84;19-12-2025;SOLICITUD;Operativo de Esterilización;LISTO;;
